 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1654529754342.39770507812,-0.82019042968,0.32507324218,-0.14453125,,,,,,,,
 1654529754375.326171875,,,,,,6726,3171,1279,2084,
 1654529754415.21264648437,,,,,,6654,3273,1275,2052,
 1654529754422.84204101562,-0.77014160156,0.25268554687,-0.24560546875,,,,,,,,
 1654529754455.6484375,,,,,,6598,3283,1279,2020,
 1654529754495.87060546875,,,,,,6578,3293,1301,1988,
 1654529754503.53051757812,-0.89172363281,0.25024414062,-0.3896484375,,,,,,,,
 1654529754536.12329101562,,,,,,6534,3382,1311,1956,
 1654529754576.31494140625,,,,,,6502,3635,1327,1924,
 1654529754583.85278320312,-1.03601074218,0.39599609375,-0.4287109375,,,,,,,,
 1654529754616.84228515625,,,,,,6470,4069,1343,1892,
 1654529754656.75927734375,,,,,,6486,4701,1383,1860,
 1654529754665.27368164062,-1.16064453125,0.45043945312,-0.39379882812,,,,,,,,
 1654529754697.31713867187,,,,,,6470,5420,1407,1828,
 1654529754739.88916015625,,,,,,6462,6130,1435,1796,
 1654529754744.955078125,-1.21875,0.43420410156,-0.36389160156,,,,,,,,
 1654529754777.60888671875,,,,,,6422,6669,1447,1764,
 1654529754820.7607421875,,,,,,6406,6864,1471,1732,
 1654529754825.82666015625,-1.08117675781,0.4921875,-0.27490234375,,,,,,,,
 1654529754858.90771484375,,,,,,6366,6526,1483,1700,
 1654529754863.91259765625,,,,44,43,,,,
 1654529754901.41870117187,,,,,,6326,5522,1495,1668,
 1654529754938.58911132812,,,,,,6278,3807,1503,1636,
 1654529754981.92407226562,,,,,,6198,1340,1495,1604,
 1654529755019.15551757812,,,,,,6134,-1754,1495,1572,
 1654529755061.94116210937,,,,,,5990,-5336,1455,1540,
 1654529755099.63037109375,,,,,,5790,-9227,1387,1508,
 1654529755178.27416992187,-0.90771484375,0.13513183593,-0.57421875,,,,,,,,
 1654529755182.30249023437,,,,,,5702,-13070,1375,1476,
 1654529755209.40209960937,,,,,,,,,,86
 1654529755212.20971679687,,,,,,5670,-16575,1391,1444,
 1654529755227.04125976562,-0.91003417968,-0.08605957031,-0.70764160156,,,,,,,,
 1654529755231.55786132812,,,,,,5750,-19447,1463,1412,
 1654529755303.76245117187,-0.84020996093,0.10363769531,-0.50915527343,,,,,,,,
 1654529755308.03491210937,,,,,,5798,-21448,1519,1380,
 1654529755341.36010742187,,,,,,5714,-22505,1509,1348,
 1654529755384.2373046875,-0.84411621093,0.25146484375,-0.40417480468,,,,,,,,
 1654529755388.69287109375,,,,,,5670,-22405,1519,1316,
 1654529755421.95703125,,,,,,5606,-21290,1519,1284,
 1654529755464.98681640625,-0.88659667968,0.27990722656,-0.3896484375,,,,,,,,
 1654529755469.10668945312,,,,,,5558,-19198,1527,1252,
 1654529755502.49291992187,,,,,,5510,-16326,1535,1220,
 1654529755545.52270507812,-0.89599609375,0.26599121093,-0.39953613281,,,,,,,,
 1654529755549.61206054687,,,,,,5446,-12970,1535,1188,
 1654529755582.93725585937,,,,,,5382,-9398,1535,1156,
 1654529755625.78393554687,-0.89624023437,0.26049804687,-0.39892578125,,,,,,,,
 1654529755630.0869140625,,,,,,5366,-5893,1559,1124,
 1654529755663.47314453125,,,,,,5318,-2697,1567,1092,
 1654529755701.1318359375,-0.90991210937,0.27368164062,-0.36010742187,,,,,,,,
 1654529755743.734375,,,,,,5350,55,1615,1060,
 1654529755787.46606445312,-0.94750976562,0.3193359375,-0.29187011718,,,,,,,,
 1654529755791.5859375,,,,,,5342,2193,1643,1028,
 1654529755824.544921875,,,,,,5310,3719,1659,996,
 1654529755867.42211914062,-0.98388671875,0.37927246093,-0.20483398437,,,,,,,,
 1654529755871.6640625,,,,,,5282,4651,1677,964,
 1654529755904.9892578125,,,,,,5230,5123,1683,932,
 1654529755941.09155273437,-0.97790527343,0.43737792968,-0.14660644531,,,,,,,,
 1654529755985.28100585937,,,,,,5190,5243,1695,900,
 1654529756021.35278320312,-0.96252441406,0.46875,-0.12353515625,,,,,,,,
 1654529756066.48828125,,,,,,5158,5150,1711,868,
 1654529756071.43212890625,,,,43,56,,,,
 1654529756101.400390625,-0.95227050781,0.46459960937,-0.11706542968,,,,,,,,
 1654529756175.0087890625,,,,,,5150,4978,1739,836,
 1654529756226.888671875,,,,,,5118,4786,1755,804,
 1654529756261.15991210937,-0.94116210937,0.48779296875,-0.16101074218,,,,,,,,
