 Time,Acc_x,Acc_y,Acc_z,HRM_b,HRM_c,HRM_r,HRM_f,PPG_r,PPG_o,BTHRM
 1655063129981.58447265625,,,,,,5374,-10860,2687,0,
 1655063129993.08959960937,0.35461425781,0.57666015625,-0.89208984375,,,,,,,,
 1655063130023.24096679687,,,,,,5526,-11736,2763,0,
 1655063130063.82934570312,,,,,,5726,-12294,2863,0,
 1655063130072.61840820312,0.26550292968,0.49304199218,-0.865234375,,,,,,,,
 1655063130105.791015625,,,,,,5822,-12407,2911,0,
 1655063130146.318359375,,,,,,5790,-12041,2895,0,
 1655063130153.91723632812,-0.03869628906,0.39562988281,-0.78186035156,,,,,,,,
 1655063130187.51708984375,,,,,,5630,-11170,2815,0,
 1655063130231.49291992187,,,,,,5502,-9802,2751,0,
 1655063130236.2841796875,-0.31823730468,0.49816894531,-0.76696777343,,,,,,,,
 1655063130313.76831054687,,,,,,5374,-8120,2687,0,
 1655063130396.34887695312,0.12854003906,0.57385253906,-0.91931152343,,,,,,,,
 1655063130400.3466796875,,,,,,5438,-6209,2719,0,
 1655063130434.83154296875,,,,,,5406,-4323,2703,0,
 1655063130529.19189453125,0.42578125,0.49060058593,-0.93322753906,,,,,,,,
 1655063130533.31176757812,,,,,,5422,-2577,2711,0,
 1655063130553.1787109375,0.439453125,0.40905761718,-0.89172363281,,,,,,,,
 1655063130599.41284179687,,,,,,5750,126,2875,0,
 1655063130640.30639648437,0.1904296875,0.35437011718,-0.77856445312,,,,,,,,
 1655063130644.70092773437,,,,,,5822,961,2911,0,
 1655063130681.8408203125,,,,,,5838,1483,2919,0,
 1655063130712.96875,-0.23120117187,0.42370605468,-0.69653320312,,,,,,,,
 1655063130724.38232421875,,,,,,5742,1795,2871,0,
 1655063130764.51293945312,,,,,,5630,2072,2815,0,
 1655063130792.52807617187,-0.54345703125,0.564453125,-0.83239746093,,,,,,,,
 1655063130805.16235351562,,,,,,5566,2511,2783,0,
 1655063130846.78833007812,,,,,,5470,3231,2735,0,
 1655063130872.72827148437,-0.48266601562,0.58630371093,-0.953125,,,,,,,,
 1655063130887.7734375,,,,,,5470,4404,2735,0,
 1655063130945.23803710937,,,,,,,,,,102
 1655063130948.01513671875,,,,,,5534,6087,2767,0,
 1655063130956.77368164062,-0.07080078125,0.54235839843,-0.90307617187,,,,,,,,
 1655063130970.01831054687,,,,,,5566,8204,2783,0,
 1655063131011.15600585937,,,,,,5590,10669,2795,0,
 1655063131032.45727539062,0.3662109375,0.5478515625,-0.8818359375,,,,,,,,
 1655063131052.2021484375,,,,,,5662,13317,2831,0,
 1655063131093.49243164062,,,,,,5758,15955,2879,0,
 1655063131112.65747070312,0.66381835937,0.5712890625,-0.94384765625,,,,,,,,
 1655063131134.44702148437,,,,,,5886,18344,2943,0,
 1655063131175.64575195312,,,,,,6110,20284,3055,0,
 1655063131192.91870117187,0.73901367187,0.51342773437,-0.97485351562,,,,,,,,
 1655063131217.02758789062,,,,,,6318,21549,3159,0,
 1655063131258.2568359375,,,,,,6398,21923,3199,0,
